"id","name","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","sequence","is_vat","is_exempt","tax_group_id","perception_id","retention_id","repartition_line_ids/document_type","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"","","","","","","","","","","","","","","invoice","tax","otros_impuestos_tasas_y_contribuciones","100.0"
"","","","","","","","","","","","","","","refund","tax","otros_impuestos_tasas_y_contribuciones","100.0"
"vat_enard","Enard","Enard","Enard","purchase","","fixed","0.0","1","False","False","tax_group_enard","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","otros_impuestos_tasas_y_contribuciones","100.0"
"","","","","","","","","","","","","","","refund","tax","otros_impuestos_tasas_y_contribuciones","100.0"
"tax_percepcion_ganancia_sufrida","Percepciones Ganancias Sufrida","Percepciones Ganancias Sufrida","Percepciones Ganancias Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_profit","l10n_ar.perception_perception_ganancias_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_a_las_ganancias_percepciones_sufridas","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_a_las_ganancias_percepciones_sufridas","100.0"
"tax_percepcion_iva_sufrida","Percepciones IVA Sufrida","Percepciones IVA Sufrida","Percepciones IVA Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_vat","l10n_ar.perception_perception_iva_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","iva_percepciones_sufridas","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_percepciones_sufridas","100.0"
"tax_percepcion_iibb_caba_sufrida","Percepciones IIBB CABA Sufrida","Percepciones IIBB CABA Sufrida","Percepciones IIBB CABA Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_caba","l10n_ar.perception_perception_iibb_caba_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_caba","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_caba","100.0"
